id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon
16318.0,Appareil fixe-Vast apparaat,Van Doornelaan,2.0,2440.0,GEEL,Antwerpen,Magazijn,Oui-Ja,,,51.1254132,4.939986243497308
16319.0,Appareil fixe-Vast apparaat,Van Doornelaan,2.0,2440.0,GEEL,Antwerpen,Inkom,Oui-Ja,,,51.1254132,4.939986243497308
12857.0,Appareil fixe-Vast apparaat,ten bergstraat,4.0,2830.0,WILLEBROEK,Antwerpen,Inkom werkplaats,Oui-Ja,,,51.049040149999996,4.369300350746203
16320.0,Appareil fixe-Vast apparaat,kastanjelaan,17.0,2950.0,KAPELLEN,Antwerpen,MOBIEL TOESTEL,Non-Nee,,,51.3228695,4.435015199999999
16321.0,Appareil fixe-Vast apparaat,Gelmelstraat,,2320.0,HOOGSTRATEN,Antwerpen,BUITENKAST INKOM,Oui-Ja,,,51.4011746,4.7767518
16322.0,Appareil fixe-Vast apparaat,Melanedreef,,8650.0,HOUTHULST,West-Vlaanderen,Inkom atelier ,Oui-Ja,,,50.9533054,2.9091334
16323.0,Appareil fixe-Vast apparaat,Ransbeekstraat,310.0,1120.0,NEDER-OVER-HEEMBEEK,Bruxelles-Brussel,MOBIEL TOESTEL,Non-Nee,,,50.901114199999995,4.400367848886249
16324.0,Appareil fixe-Vast apparaat,Kattestraat,27.0,1785.0,Merchtem,Vlaams-Brabant,2de verdieping bij uitstappen lift 1,Non-Nee,Oui-Ja,,50.96086925,4.229578713946461
16325.0,Appareil fixe-Vast apparaat,rue de la Petite Ile et rue de la Filature (entrée C),,1070.0,Anderlecht,Bruxelles-Brussel,Bureaux de chantier (baraquement),Non-Nee,Non-Nee,7h-17h,,
16326.0,Appareil fixe-Vast apparaat,Kielsbroek ,44.0,2020.0,Antwerpen,Antwerpen,Aan de ingang van de winkel ,Oui-Ja,Non-Nee,Openingsuren winkel ,51.1994846,4.374073406693272
16327.0,Appareil fixe-Vast apparaat,Kernenergiestraat ,79.0,2610.0,Wilrijk,Antwerpen,In de productieruimte: Tussen montagehal en Conventieel frezen en draaien hal,Non-Nee,Non-Nee,9u-17u,51.1569406,4.389334133004927
16328.0,Appareil fixe-Vast apparaat,Luchthavenlei ,1.0,2100.0,Antwerpen,Antwerpen,Bureau Technische Dienst (naast deur loods),Non-Nee,Oui-Ja,,51.1857655,4.4562775157502585
16329.0,Appareil fixe-Vast apparaat,Gouverneur Verwilghensingle,,3500.0,Hasselt,Limburg,Aan de ingang van het gebouw ,Oui-Ja,Non-Nee,Openingsuren van de vestiging ,,
16330.0,Appareil fixe-Vast apparaat,Werkhuizenkaai,23.0,1000.0,Brussel ,Bruxelles-Brussel,Aan de ingang van het gebouw,Oui-Ja,Non-Nee,Openingsuren van de vestiging ,50.87574275,4.364461133763669
16331.0,Appareil fixe-Vast apparaat,Lieutenant Lotinstraat,20.0,1190.0,Vorst,Bruxelles-Brussel,Aan de ingang van het gebouw,Oui-Ja,Non-Nee,Openingsuren van de vestiging,50.8100658,4.3066357
16332.0,Appareil fixe-Vast apparaat,rue Coquiamont,11.0,4280.0,Merdorp,Liège,Au fond de la cour sur la batiment de gauche dans une armoire verte,Oui-Ja,Oui-Ja,,50.648800550000004,4.992048888302803
16333.0,Appareil fixe-Vast apparaat,SCHAAPBRUGGESTRAAT,50.0,8800.0,ROESELARE,West-Vlaanderen,INKOMHAL - In de kast bij het alarm.,Non-Nee,Non-Nee,Van maandag tot vrijdag: 8u - 17u ,50.9406798,3.160353851803146
16334.0,Appareil fixe-Vast apparaat,BORSBEEKSEBRUG,26.0,2600.0,Berchem,Antwerpen,"EERSTE VERDIEPING AAN ONTHAAL (CM-BADGE IS NOODZAKELIJK VOOR TOEGANG)
",Oui-Ja,,,51.1993783,4.4353216
16335.0,Appareil fixe-Vast apparaat,REGENBEEKSTRAAT ,36.0,8800.0,ROESELARE,West-Vlaanderen,In de inkom,Non-Nee,Non-Nee,Maandag-Vrijdag 8u-17u,50.9328662,3.171288239382782
16336.0,Appareil fixe-Vast apparaat,KACHTEMSESTRAAT ,289.0,8800.0,ROESELARE,West-Vlaanderen,In de inkom,Non-Nee,Non-Nee,Maandag-vrijdag 8u-17u,50.94714715,3.1603700965090162
16337.0,Appareil fixe-Vast apparaat,Woluwestraat,1.0,1830.0,Machelen,Vlaams-Brabant,Naast inkomdeur,Oui-Ja,Oui-Ja,,50.91264565,4.432439139043597
16338.0,Appareil fixe-Vast apparaat,Kosterstraat,2.0,1831.0,Diegem,Vlaams-Brabant,Naast inkomdeur,Non-Nee,Oui-Ja,,50.8938938,4.4352578
16339.0,Appareil fixe-Vast apparaat,Nieuwstraat,5.0,1830.0,Machelen,Vlaams-Brabant,Nabij ingang service flats,Oui-Ja,Oui-Ja,,50.91352795,4.437862242394717
16340.0,Appareil fixe-Vast apparaat,Av. Georges Truffaut,43.0,4020.0,Liège,Liège,Aan de ingang van het gebouw ,Oui-Ja,Non-Nee,Tijdens de openingsuren van de winkel,50.6499119,5.612473
16341.0,Appareil fixe-Vast apparaat,Kortrijkstraat ,345.0,8560.0,Wevelgem,Oost-Vlaanderen,Aan de ingang van het gebouw ,Oui-Ja,Non-Nee,Tijdens de openingsuren van de winkel ,50.8180042,3.2147865
16342.0,Appareil fixe-Vast apparaat,Papaverstraat  ,4.0,8430.0,Middelkerke,West-Vlaanderen,Aan de ingang van het gebouw,Oui-Ja,Non-Nee,Openingsuren van de winkel,51.1935149,2.843847
