id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon,full_address
12524.0,Appareil fixe-Vast apparaat,rue Moulin Masure,9.0,7730.0,Estaimpuis,Hainaut,Bureau,Oui-Ja,Non-Nee,,50.7041187,3.2656207,"rue Moulin Masure 9 ,7730 ,Estaimpuis"
12526.0,Appareil fixe-Vast apparaat,rue du Pont Tunnel,1.0,7730.0,Estaimpuis,Hainaut,Hall d entrée,Oui-Ja,Non-Nee,,50.70644515,3.259879751934563,"rue du Pont Tunnel 1 ,7730 ,Estaimpuis"
12527.0,Appareil fixe-Vast apparaat,rue de Berne,4.0,7730.0,Leers-Nord,Hainaut,Hall d accueil,Oui-Ja,Non-Nee,,50.6871226,3.2701076,"rue de Berne 4 ,7730 ,Leers-Nord"
12528.0,Appareil fixe-Vast apparaat,rue Moulin Masure,9.0,7730.0,Estaimpuis,Hainaut,Piscine - Sauveteur,Oui-Ja,Non-Nee,,50.7041187,3.2656207,"rue Moulin Masure 9 ,7730 ,Estaimpuis"
12529.0,Appareil fixe-Vast apparaat,rue de l Eglise,1.0,1435.0,Corbais,Brabant Wallon,Accueil,Oui-Ja,Non-Nee,,50.66127455,4.674944550855097,"rue de l Eglise 1 ,1435 ,Corbais"
12530.0,Appareil fixe-Vast apparaat,Place Saint Lazare,2.0,1210.0,Bruxelles,Bruxelles-Brussel,13e étage,Oui-Ja,Non-Nee,,50.8570441,4.3616348,"Place Saint Lazare 2 ,1210 ,Bruxelles"
12531.0,Appareil fixe-Vast apparaat,Place Saint Lazare,2.0,1210.0,Bruxelles,Bruxelles-Brussel,15e étage,Oui-Ja,Non-Nee,,50.8570441,4.3616348,"Place Saint Lazare 2 ,1210 ,Bruxelles"
12532.0,Appareil fixe-Vast apparaat,Rue de la Citadelle,124.0,7500.0,Tournai,Hainaut,Dans le bureau d accueil,Non-Nee,Non-Nee,,50.5990033,3.387856,"Rue de la Citadelle 124 ,7500 ,Tournai"
12533.0,Appareil fixe-Vast apparaat,rue de la Vieille Fosse,1.0,4400.0,Flémalle,Liège,Hall d entrée,Oui-Ja,Non-Nee,,50.597272450000006,5.467932061084097,"rue de la Vieille Fosse 1 ,4400 ,Flémalle"
12534.0,Appareil fixe-Vast apparaat,Chaussée de Ramioul,8.0,4400.0,Flémalle,Liège,Hall d accueil,Oui-Ja,Non-Nee,,50.58415325,5.443090950648169,"Chaussée de Ramioul 8 ,4400 ,Flémalle"
12535.0,Appareil fixe-Vast apparaat,rue Emile Sergrijsels,15.0,1081.0,Bruxelles,Bruxelles-Brussel,Hall d accueil,Oui-Ja,Non-Nee,,50.843183,4.371755,"rue Emile Sergrijsels 15 ,1081 ,Bruxelles"
